VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk Path,Capacity MiB,Raw,Disk Mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrdsq04,poweredOn,False,False,Hard disk 2,2001,D:\,153600,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,1,noSharing,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_1.vmdk,,,ecbrdsq04 2001,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17652,422eae5b-da61-0887-4792-963b102d1437,,172.20.1.174,172.20.1.174
ecbrdsq04,poweredOn,False,False,Hard disk 3,2005,G:\,1945600,True,independent_persistent,,,,,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,5,noSharing,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_7.vmdk,020009000050002acfc2a339a8565620202020,virtualMode,ecbrdsq04 2005,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17652,422eae5b-da61-0887-4792-963b102d1437,,172.20.1.174,172.20.1.174
ecbrdsq04,poweredOn,False,False,Hard disk 4,2006,E:\,1945600,True,independent_persistent,,,,,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,6,noSharing,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_8.vmdk,02000a000050002acfc3e839a8565620202020,virtualMode,ecbrdsq04 2006,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17652,422eae5b-da61-0887-4792-963b102d1437,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,Hard disk 1,2000,,102400,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,0,noSharing,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/ecbrprlx01.vmdk,,,ecbrlx01 2000,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,Hard disk 2,2001,,1048576,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,1,noSharing,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/ecbrprlx01_1.vmdk,,,ecbrlx01 2001,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,Hard disk 4,2002,,102400,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,2,noSharing,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/ecbrprlx01_2.vmdk,,,ecbrlx01 2002,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,Hard disk 3,2003,,102400,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,3,noSharing,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/ecbrprlx01_6.vmdk,,,ecbrlx01 2003,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,,172.20.1.174,172.20.1.174
ecbrprarb01,poweredOn,False,False,Hard disk 1,2000,C:\,184320,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[3PAR_ID11_ecbrprarb01_C_D] ecbrprarb01/ecbrprarb01_2.vmdk,,,ecbrprarb01 2000,,"Sun Jul  6 02:00:09 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-349,423e861e-575b-99cf-47cc-b530c0fd3d3f,,172.20.1.174,172.20.1.174
ecbrprarb01,poweredOn,False,False,Hard disk 2,2001,D:\,71680,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,1,noSharing,[3PAR_ID11_ecbrprarb01_C_D] ecbrprarb01/ecbrprarb01.vmdk,,,ecbrprarb01 2001,,"Sun Jul  6 02:00:09 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-349,423e861e-575b-99cf-47cc-b530c0fd3d3f,,172.20.1.174,172.20.1.174
ecbrprbi01,poweredOn,False,False,Hard disk 1,2000,C:\,153600,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprbi01/ecbrprbi01_4.vmdk,,,ecbrprbi01 2000,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7618,422e52a6-99e8-7f3b-5dbd-12a7608bc95c,,172.20.1.174,172.20.1.174
ecbrprbi01,poweredOn,False,False,Hard disk 2,2001,D:\,1048576,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,1,noSharing,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprbi01/ecbrprbi01_6.vmdk,,,ecbrprbi01 2001,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7618,422e52a6-99e8-7f3b-5dbd-12a7608bc95c,,172.20.1.174,172.20.1.174
ecbrprebn01,poweredOff,False,False,Hard disk 1,2000,C:\,81920,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[DiskLun_Servidores_Test_Nimble_3] ecbrprebn01/ecbrprebn01.vmdk,,,ecbrprebn01 2000,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-10551,422e49e1-bfe4-73f6-c468-0127f3ec49f4,,172.20.1.174,172.20.1.174
ecbrprebn01,poweredOff,False,False,Hard disk 2,2001,D:\,122880,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,1,noSharing,[DiskLun_Servidores_Test_Nimble_3] ecbrprebn01/ecbrprebn01_1.vmdk,,,ecbrprebn01 2001,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-10551,422e49e1-bfe4-73f6-c468-0127f3ec49f4,,172.20.1.174,172.20.1.174
ecbrprgmi,poweredOn,False,False,Hard disk 1,2000,C:\,71680,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[DiskLun_3PAR8400_HPE_GMS] ecbrprgmi/ecbrprgmi_3.vmdk,,,ecbrprgmi 2000,,"Sun Jul  6 02:00:08 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-10579,422eca13-c1a2-ed38-7453-59041c617351,,172.20.1.174,172.20.1.174
ecbrprgmi,poweredOn,False,False,Hard disk 2,2001,D:\,40960,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,1,noSharing,[DiskLun_3PAR8400_HPE_GMS] ecbrprgmi/ecbrprgmi_5.vmdk,,,ecbrprgmi 2001,,"Sun Jul  6 02:00:08 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-10579,422eca13-c1a2-ed38-7453-59041c617351,,172.20.1.174,172.20.1.174
