Name,Message,Message type,VI SDK Server,VI SDK UUID
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_6.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_6-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_1] ecbrtsw115/ecbrtsw115_10.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_1] ecbrtsw115/ecbrtsw115_12.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_1] ecbrtsw115/ecbrtsw115_8.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_2] VM_Pruebas/VM_Pruebas.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_2] VM_Pruebas/VM_Pruebas.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_2] VM_Pruebas/VM_Pruebas_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_Servidores_Test_Nimble_3] ecbrtscl03/ecbrtscl03.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
