VM,Powerstate,Template,SRM Placeholder,VM Version,Tools,Tools Version,Required Version,Upgradeable,Upgrade Policy,Sync time,App status,Heartbeat status,Kernel Crash state,Operation Ready,State change support,Interactive Guest,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
Template_W2016BDD,poweredOff,True,False,14,toolsNotInstalled,0,12389,No,manual,False,,appStatusGray,,False,False,False,,,DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),195,vm-479,422e6ecb-9a27-560f-3bad-847674f2168f,,172.20.1.174,172.20.1.174
Template_W2019_Hardening_Base_Dominio,poweredOff,True,False,13,toolsNotRunning,11365,12389,No,manual,False,,appStatusGray,,False,False,False,Parches 07/02/2023,,DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP/Plantillas_2024/Windows Server 2019,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),374,vm-5834,422eff9d-66dc-b00b-c16b-3a61319e78db,,172.20.1.174,172.20.1.174
Template_W2019_Hardening_Base_NoDominio,poweredOff,True,False,13,toolsNotRunning,11365,12389,No,manual,False,,appStatusGray,,False,False,False,Parches 07/02/2023,,DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP/Plantillas_2024/Windows Server 2019,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),378,vm-5129,422e2c77-bdea-d47f-2e94-4ee544e4c56f,,172.20.1.174,172.20.1.174
Template_w2019_Hardening_IIS_DMZ_Dotnet6_D,poweredOff,True,False,13,toolsNotRunning,11365,12389,No,manual,False,,appStatusGray,,False,False,False,Parches 07/02/2023,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP/Plantillas_2024/Windows Server 2019,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),379,vm-7622,422e7dc0-c715-19e9-a71b-24065fea85ac,,172.20.1.174,172.20.1.174
Template_w2019_Hardening_IIS_DMZ_Dotnet6_p,poweredOff,True,False,13,toolsNotRunning,11365,12389,No,manual,False,,appStatusGray,,False,False,False,Parches 07/02/2023,,DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),338,vm-7619,422e68de-89f2-7a57-e37b-9bef130439ab,,172.20.1.174,172.20.1.174
Template_w2019_Hardening_IIS_Dominio_Dotnet6_p,poweredOff,True,False,13,toolsNotRunning,12325,12389,No,manual,False,,appStatusGray,,False,False,False,Parches SEP-OCT2023,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP/Plantillas_2024/Windows Server 2019,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),377,vm-7612,422e677e-f1dc-55a6-ba99-be944cc36d2e,,172.20.1.174,172.20.1.174
Template_W2019_Hardening_SQL2019STD_Dominio,poweredOff,True,False,13,toolsNotRunning,11365,12389,No,manual,False,none,appStatusGray,False,False,False,False,Parches 07/02/2023,,DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP/Plantillas_2024/Windows Server 2019,Microsoft Windows Server 2016 or later (64-bit),,376,vm-5137,422e942e-2c9b-0194-50d6-3b8fe4033081,,172.20.1.174,172.20.1.174
Template_W2019_SinHardening_Base,poweredOff,True,False,14,toolsNotRunning,11365,12389,No,manual,False,,appStatusGray,,False,False,False,Parches 07/02/2023,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP/Plantillas_2024/Windows Server 2019,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 (64-bit),375,vm-5133,422e2140-0040-11de-f7d5-e67dbe34755d,,172.20.1.174,172.20.1.174
Template_Win2025-Base,poweredOff,True,False,21,toolsNotRunning,12416,12389,No,manual,False,none,appStatusGray,False,False,False,False,,,DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP/Plantillas_2024/Windows_Servers_2025,Microsoft Windows Server 2022 (64-bit),,362,vm-54912,25e35bb4-d8f8-4f0e-8734-bb31f06b2a67,,172.20.1.174,172.20.1.174
Template_Windows2003Standard64bit,poweredOff,True,False,11,toolsNotRunning,10252,12389,No,manual,False,,appStatusGray,,False,False,False,,,DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP/Plantillas_2024,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),351,vm-4502,422e8ede-5489-5f98-fae5-f0b9ccad3e24,,172.20.1.174,172.20.1.174
Template_WindowsServer2003_BDD2000,poweredOff,True,False,11,toolsNotRunning,10252,12389,No,manual,False,,appStatusGray,,False,False,False,,,DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP/Plantillas_2024,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),350,vm-4504,422efd4f-eb20-a846-3616-514d09bf33e8,,172.20.1.174,172.20.1.174
test186com1,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),49,vm-3226,423e7412-4775-f0c0-0e86-c533a01096c7,,172.20.1.174,172.20.1.174
test186cw1,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),258,vm-3163,423e4427-35c2-0dc9-dc9f-606dba1f4051,,172.20.1.174,172.20.1.174
test186h01,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,True,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),176,vm-3177,423eb8d6-220a-6a2c-fbff-01270709ddf9,,172.20.1.174,172.20.1.174
test186h01clon,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),168,vm-25946,422e0f8b-454d-93e2-58e0-6c48f8681db0,,172.20.1.174,172.20.1.174
test186h02,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,True,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),215,vm-3152,423e0c27-195f-803d-e5b9-bb06fc1ca61a,,172.20.1.174,172.20.1.174
test186h02clon,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,True,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),141,vm-25948,422eb737-2072-395c-e9dd-c5865019d4b4,,172.20.1.174,172.20.1.174
test186q01,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),126,vm-3151,423ee98d-1c81-525b-b545-4ccaed4b89b9,,172.20.1.174,172.20.1.174
test186q02,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),204,vm-3187,423ef080-5a36-67a3-b6c1-c442897ab936,,172.20.1.174,172.20.1.174
test186q03,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,True,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),280,vm-3207,423eca62-5e99-4526-c869-1961edf31ebf,,172.20.1.174,172.20.1.174
test186q04,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),197,vm-3182,423ec7f1-a467-dacf-7f24-a88bccb732da,,172.20.1.174,172.20.1.174
test186w01,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,True,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),169,vm-3206,423ef2f9-24cf-5044-a8b0-f9e61f482ed7,,172.20.1.174,172.20.1.174
test186w05,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,True,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),181,vm-3150,423e14aa-c091-94ba-c614-701358dc91e2,,172.20.1.174,172.20.1.174
test186w06,poweredOn,False,False,9,toolsOld,10252,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),92,vm-3205,423e8270-ffc9-ce83-4b96-f6ef52d9e38c,,172.20.1.174,172.20.1.174
test186w07,poweredOn,False,False,9,toolsOld,10240,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),160,vm-3136,423edb89-497d-3d4e-6291-c74821b4eb70,,172.20.1.174,172.20.1.174
test186w09,poweredOn,False,False,9,toolsOk,12320,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),217,vm-3149,423e371d-8a03-58f5-91f9-e572941c132c,,172.20.1.174,172.20.1.174
vCLS-38443851-4131-4d32-3239-34303036374c,poweredOn,False,False,21,toolsOk,12389,12448,No,manual,True,none,appStatusGray,False,True,False,False,,,DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP/vCLS,VMware Photon CRX (64-bit),VMware Photon CRX (64-bit),345,vm-55840,564db03b-27ea-b47d-bfe6-3c1f5b364639,,172.20.1.174,172.20.1.174
vCLS-394a3153-4138-4d32-3244-314d3031464e,poweredOn,False,False,21,toolsOk,12389,12448,No,manual,True,none,appStatusGray,False,True,False,False,,,DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP/vCLS,VMware Photon CRX (64-bit),VMware Photon CRX (64-bit),344,vm-55933,564d9876-e952-9d51-67d6-b47cb7e0ad4f,,172.20.1.174,172.20.1.174
vCLS-7ee39516-b2fc-442c-b439-bcd5a1fb20ec,poweredOn,False,False,11,toolsOk,12389,12288,No,manual,False,none,appStatusGray,False,True,True,False,"vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster. ",,DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP/vCLS,Other 2.6.x Linux (64-bit),VMware Photon OS (64-bit),346,vm-30003,422eef47-15d4-b7d3-5c7d-44a77a690a90,,172.20.1.174,172.20.1.174
vCLS-824960f0-1889-4a7e-9751-667f0d6bcd6b,poweredOn,False,False,11,toolsOk,12389,12288,No,manual,False,none,appStatusGray,False,True,True,False,"vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster. ",,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP/vCLS,Other 2.6.x Linux (64-bit),VMware Photon OS (64-bit),349,vm-30001,422e1c91-81f3-8490-a07e-a8db8a3cec84,,172.20.1.174,172.20.1.174
vCLS-96f9b1cb-1265-4fc6-9b2c-8ccb96119600,poweredOn,False,False,11,toolsOk,12389,12288,No,manual,False,none,appStatusGray,False,True,True,False,"vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster. ",,DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP/vCLS,Other 2.6.x Linux (64-bit),VMware Photon OS (64-bit),348,vm-30002,422e192d-0feb-5aef-609d-c643e2668684,,172.20.1.174,172.20.1.174
vCLS-d3221465-9cf2-42fc-8499-543d7d1670f2,poweredOn,False,False,11,toolsOk,12389,12288,No,manual,False,none,appStatusGray,False,True,True,False,"vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster. ",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP/vCLS,Other 2.6.x Linux (64-bit),VMware Photon OS (64-bit),347,vm-30004,422e120b-8f96-ef03-96bd-6b48b0ff04c3,,172.20.1.174,172.20.1.174
