Hierarchy,,Information,,Observed Storage,,Performance,,
Group Name,Asset,Server Name,Disk,Observed Disk Capacity (GB),Observed Disk Occupancy (GB),Observed Throughput (MBps),Peak IOPS,ID (server name + uid)
Physical Infrastructure,Default,ECBRPRCF01,D:,107.4,1.3,0,0,v_5AHC6xDI.D:
Physical Infrastructure,Default,ECBRPRH04,D:,322.1,190.3,4.5,151,v_5BJFAv4M.D:
Physical Infrastructure,Default,ECBRPRH04,E:,53.7,7.9,0,0,v_5BJFAv4M.E:
Physical Infrastructure,Default,ECBRPRH04,C:,64.3,27.4,68.7,814,v_5BJFAv4M.C:
Physical Infrastructure,Default,ecbrprarb01,C:,192.7,139.8,48.5,1293,v_5OmHSFGQ.C:
Physical Infrastructure,Default,ecbrprarb01,D:,75.2,49.2,37.5,321,v_5OmHSFGQ.D:
Physical Infrastructure,Default,ecbrprq52,C:,321.6,63.5,14.6,843,v_5g0Fp954.C:
Physical Infrastructure,Default,ecbrprq52,D:,128.8,48.6,122.8,638,v_5g0Fp954.D:
Physical Infrastructure,Default,ecbrprq52,Z:,42.9,0.2,1.8,43,v_5g0Fp954.Z:
Physical Infrastructure,Default,ECBRPRQ68,C:,64.3,37.2,8.7,259,v_637uUrcF.C:
Physical Infrastructure,Default,ECBRPRQ68,D:,64.4,1.5,0,0,v_637uUrcF.D:
Physical Infrastructure,Default,ECBRPRQ68,E:,85.9,38.8,4.1,69,v_637uUrcF.E:
Physical Infrastructure,Default,ECBRPRQ68,F:,225.5,12.4,1,10,v_637uUrcF.F:
Physical Infrastructure,Default,ECBRPRQ68,G:,107.4,54,313.8,1328,v_637uUrcF.G:
Physical Infrastructure,Default,ECBRPRQ68,H:,107.4,0.1,0,0,v_637uUrcF.H:
Physical Infrastructure,Default,ECBRPRQ68,I:,107.4,0.1,0,0,v_637uUrcF.I:
Physical Infrastructure,Default,ECBRPRQ68,J:,107.4,0.1,0,0,v_637uUrcF.J:
Physical Infrastructure,Default,ECBRPRW74,C:,106.8,42.3,34.6,678,v_69xe8EMB.C:
Physical Infrastructure,Default,ECBRPRW74,D:,375.8,305.8,176.8,5758,v_69xe8EMB.D:
Physical Infrastructure,Default,ECBRPRW71,C:,85.9,41.9,18.4,830,v_6o98zqWT.C:
Physical Infrastructure,Default,ECBRPRW71,D:,43,3.1,0,0,v_6o98zqWT.D:
Physical Infrastructure,Default,ECBRPRAP14,C:,160.5,119.7,21.6,1156,v_70uSgW4o.C:
Physical Infrastructure,Default,ECBRPRAP14,D:,53.7,40.8,0,0,v_70uSgW4o.D:
Physical Infrastructure,Default,ecbrprq74,C:,85.8,38.6,54.9,1191,v_7eCKseXC.C:
Physical Infrastructure,Default,ecbrprq74,D:,53.7,14.2,8.4,73,v_7eCKseXC.D:
Physical Infrastructure,Default,ecbrprq74,E:,85.9,9.3,8,127,v_7eCKseXC.E:
Physical Infrastructure,Default,ecbrprq74,F:,107.4,40.6,158.2,980,v_7eCKseXC.F:
Physical Infrastructure,Default,ecbrprq74,G:,161,77.2,87.4,435,v_7eCKseXC.G:
Physical Infrastructure,Default,ecbrprq74,H:,161,77.2,83.8,417,v_7eCKseXC.H:
