Hierarchy,,Information,,Observed Storage,,Performance,,
Group Name,Asset,Server Name,Disk,Observed Disk Capacity (GB),Observed Disk Occupancy (GB),Observed Throughput (MBps),Peak IOPS,ID (server name + uid)
Physical Infrastructure,Default,ecbrprcl6,E:,107.2,9.6,1.7,43,v_OneYdu4G.E:
Physical Infrastructure,Default,ecbrprcl6,F:,107.2,4.6,0.9,18,v_OneYdu4G.F:
Physical Infrastructure,Default,ecbrprcl6,G:,107.2,7.2,23.6,757,v_OneYdu4G.G:
Physical Infrastructure,Default,ecbrprcl6,H:,107.2,7,1.1,21,v_OneYdu4G.H:
Physical Infrastructure,Default,ecbrprcl6,I:,182.4,105.3,118.5,488,v_OneYdu4G.I:
Physical Infrastructure,Default,ecbrprcl6,J:,85.8,13.1,7.6,187,v_OneYdu4G.J:
Physical Infrastructure,Default,ecbrprcl6,K:,375.7,247.9,255.6,1072,v_OneYdu4G.K:
Physical Infrastructure,Default,ecbrprcl6,L:,64.3,6.8,0.2,28,v_OneYdu4G.L:
Physical Infrastructure,Default,ecbrprcl6,M:,64.3,17.4,2,132,v_OneYdu4G.M:
Physical Infrastructure,Default,ecbrprcl6,N:,150.2,104.7,0.1,17,v_OneYdu4G.N:
Physical Infrastructure,Default,ecbrprcl6,Q:,5.3,0.1,0.1,10,v_OneYdu4G.Q:
Physical Infrastructure,Default,ecbrprcl6,R:,322,156,73.5,920,v_OneYdu4G.R:
Physical Infrastructure,Default,ECBRPRQ38,C:,128.3,58.5,15.7,813,v_Q6PwgK7F.C:
Physical Infrastructure,Default,ECBRPRQ38,D:,161,63.4,57.1,2274,v_Q6PwgK7F.D:
Physical Infrastructure,Default,ECBRPRQ38,E:,161,4.6,0.1,10,v_Q6PwgK7F.E:
Physical Infrastructure,Default,ECBRPRQ38,F:,161,0.3,0.2,35,v_Q6PwgK7F.F:
Physical Infrastructure,Default,ecbrprcl9,C:,106.8,75.4,62.4,892,v_QcgTUIE7.C:
Physical Infrastructure,Default,ecbrprcl9,D:,42.9,24.5,0,0,v_QcgTUIE7.D:
Physical Infrastructure,Default,ecbrprcl9,E:,107.4,18,12.7,481,v_QcgTUIE7.E:
Physical Infrastructure,Default,ecbrprcl9,H:,107.4,6.4,0,10,v_QcgTUIE7.H:
Physical Infrastructure,Default,ecbrprcl9,I:,107.4,18.5,3.8,62,v_QcgTUIE7.I:
Physical Infrastructure,Default,ecbrprcl9,Q:,5.3,0.1,0.1,2,v_QcgTUIE7.Q:
Physical Infrastructure,Default,ecbrprcl9,F:,53.7,30.5,0,2,v_QcgTUIE7.F:
Physical Infrastructure,Default,ecbrprcl9,G:,53.7,7.5,0.5,21,v_QcgTUIE7.G:
Physical Infrastructure,Default,ecbrprti03,C:,160.5,84.2,21.2,872,v_Qynj84tB.C:
Physical Infrastructure,Default,ecbrprti03,D:,85.9,49.1,0,0,v_Qynj84tB.D:
Physical Infrastructure,Default,ecbrpra03,C:,160.5,113.5,229.7,1701,v_RKpJX3Ss.C:
Physical Infrastructure,Default,ecbrpra03,D:,375.8,155.4,0,0,v_RKpJX3Ss.D:
Physical Infrastructure,Default,ECBRPRQ30,C:,161,117.7,11.5,471,v_RUN0Ppj8.C:
Physical Infrastructure,Default,ECBRPRQ30,D:,2199,2065.6,155.6,1876,v_RUN0Ppj8.D:
Physical Infrastructure,Default,ECBRPRQ30,Z:,268.4,0.6,27.2,443,v_RUN0Ppj8.Z:
Physical Infrastructure,Default,ecbrprti02,C:,214.2,140.3,11.8,397,v_Sz1jDxX5.C:
Physical Infrastructure,Default,ecbrprti02,D:,85.9,49.1,0.8,212,v_Sz1jDxX5.D:
Physical Infrastructure,Default,ECBRPRW85,C:,85.3,39.2,24.5,680,v_TIiCbJpE.C:
Physical Infrastructure,Default,ECBRPRW85,D:,42.9,9.2,0,0,v_TIiCbJpE.D:
Physical Infrastructure,Default,ecbrprq59,C:,128.3,68.4,111.4,1109,v_TgYcDqh7.C:
Physical Infrastructure,Default,ecbrprq59,D:,107.4,37.8,116,6007,v_TgYcDqh7.D:
Physical Infrastructure,Default,ecbrprq59,E:,161,48.4,0.6,44,v_TgYcDqh7.E:
Physical Infrastructure,Default,ecbrprq59,F:,53.7,31.6,24.2,884,v_TgYcDqh7.F:
Physical Infrastructure,Default,ecbrprq59,G:,64.4,10.6,102.6,477,v_TgYcDqh7.G:
Physical Infrastructure,Default,ecbrprq59,Z:,64.4,0.2,12.2,63,v_TgYcDqh7.Z:
Physical Infrastructure,Default,ECBRPRW92,C:,64.3,52.2,39.4,899,v_TxDgqM0p.C:
Physical Infrastructure,Default,ECBRPRW92,D:,53.7,14.6,0.1,21,v_TxDgqM0p.D:
Physical Infrastructure,Default,ECBRPRW92,E:,429.5,25.4,17.5,4492,v_TxDgqM0p.E:
Physical Infrastructure,Default,ECBRPRW65,C:,160.5,44.8,19.6,729,v_UXCpWBB3.C:
Physical Infrastructure,Default,ECBRPRW65,D:,53.7,5.1,0,10,v_UXCpWBB3.D:
Physical Infrastructure,Default,ecbrprq55,C:,160.5,61.7,29.1,1560,v_VC2nsoWg.C:
Physical Infrastructure,Default,ecbrprq55,D:,161.1,40.7,167.1,3023,v_VC2nsoWg.D:
Physical Infrastructure,Default,ecbrprq55,F:,161.1,1.7,0,17,v_VC2nsoWg.F:
Physical Infrastructure,Default,ECBRPRW64,C:,160.5,58.3,1.8,364,v_VbpSOjbt.C:
Physical Infrastructure,Default,ECBRPRW64,D:,53.7,20.3,0,10,v_VbpSOjbt.D:
Physical Infrastructure,Default,ECBRPRQ21,C:,85.8,59.3,50.9,690,v_W8lzaLBc.C:
Physical Infrastructure,Default,ECBRPRQ21,D:,32.2,20,85.9,2241,v_W8lzaLBc.D:
Physical Infrastructure,Default,ECBRPRQ21,E:,268.4,196.1,448.6,4978,v_W8lzaLBc.E:
Physical Infrastructure,Default,ECBRPRQ21,H:,161.1,75.9,0,0,v_W8lzaLBc.H:
Physical Infrastructure,Default,ECBRPRQ21,I:,322.1,110.3,515.8,8105,v_W8lzaLBc.I:
Physical Infrastructure,Default,ECBRPRQ21,Z:,21.5,0.3,11.2,59,v_W8lzaLBc.Z:
Physical Infrastructure,Default,ecbrprq49,C:,160.5,77,41.5,620,v_WBjpB1yF.C:
Physical Infrastructure,Default,ecbrprq49,E:,268.4,72.9,301.8,2355,v_WBjpB1yF.E:
Physical Infrastructure,Default,ecbrprq49,F:,268.3,105.5,113,1571,v_WBjpB1yF.F:
Physical Infrastructure,Default,ecbrprw90,C:,160.3,65.1,5.3,226,v_X7lN615B.C:
Physical Infrastructure,Default,ecbrprw90,D:,268.4,109.3,12.5,1073,v_X7lN615B.D:
Physical Infrastructure,Default,ECBRPRKW01,C:,160.5,52.6,31,874,v_X9cZDWi6.C:
Physical Infrastructure,Default,ECBRPRKW01,D:,42.9,9.4,0.2,62,v_X9cZDWi6.D:
Physical Infrastructure,Default,ECBRPRW87,C:,160.5,71.8,3,361,v_XoF17Gzr.C:
Physical Infrastructure,Default,ECBRPRW87,D:,161,70.3,0.1,10,v_XoF17Gzr.D:
Physical Infrastructure,Default,ecbrprf03,C:,53.1,33,40.5,1031,v_ZITYQEBZ.C:
Physical Infrastructure,Default,ecbrprf03,D:,268.4,6.1,0,0,v_ZITYQEBZ.D:
Physical Infrastructure,Default,ECBRPRAP10,C:,171.3,63.1,15.2,576,v_ZPfSsHeE.C:
Physical Infrastructure,Default,ECBRPRAP10,D:,322.1,101.8,15.4,238,v_ZPfSsHeE.D:
Physical Infrastructure,Default,ECBRPRW58,C:,160.5,44.6,23.5,732,v_aaKqFQgL.C:
Physical Infrastructure,Default,ECBRPRW58,D:,42.9,3.4,0,0,v_aaKqFQgL.D:
Physical Infrastructure,Default,ECBRPRW58,L:,21.3,2.6,0,10,v_aaKqFQgL.L:
Physical Infrastructure,Default,ecbrprsf1,C:,161.1,59,75.2,2414,v_bLaAVocv.C:
Physical Infrastructure,Default,ecbrprsf1,D:,429.5,88.7,1.6,102,v_bLaAVocv.D:
Physical Infrastructure,Default,ECBRPRW44,C:,160.5,112.1,4.2,591,v_bmoWDpWc.C:
Physical Infrastructure,Default,ECBRPRW44,D:,53.7,11,2.2,17,v_bmoWDpWc.D:
Physical Infrastructure,Default,ECBRPRW15,C:,85.8,42.2,14.1,860,v_bxHT8hmA.C:
Physical Infrastructure,Default,ECBRPRW15,D:,107.4,36.1,8.5,1587,v_bxHT8hmA.D:
Physical Infrastructure,Default,ECBRPRW38,D:,42.9,5.9,0,0,v_cQywyrJ8.D:
Physical Infrastructure,Default,ECBRPRW38,L:,21.5,13.5,0.1,13,v_cQywyrJ8.L:
Physical Infrastructure,Default,ECBRPRW38,C:,85.3,40.1,19.3,362,v_cQywyrJ8.C:
Physical Infrastructure,Default,ECBRPRAP29,C:,85.8,36,74.8,1319,v_cigLj60i.C:
Physical Infrastructure,Default,ECBRPRAP29,D:,53.7,3.3,0,0,v_cigLj60i.D:
Physical Infrastructure,Default,ECBRPRAP29,E:,107.4,0.1,0,0,v_cigLj60i.E:
Physical Infrastructure,Default,ECBRPRAP4,C:,209.2,102.3,9.9,497,v_dH4SLK3k.C:
Physical Infrastructure,Default,ECBRPRAP4,D:,2400.3,1194.5,61.8,791,v_dH4SLK3k.D:
Physical Infrastructure,Default,ECBRPRAP12,C:,214.2,156.2,99.2,2295,v_dJA6zue9.C:
Physical Infrastructure,Default,ECBRPRAP12,D:,91.3,60.9,0.5,78,v_dJA6zue9.D:
Physical Infrastructure,Default,BGR186QV1,C:,160.5,61.1,29,1013,v_dhWn61DW.C:
Physical Infrastructure,Default,BGR186QV1,D:,107.4,15.2,0,0,v_dhWn61DW.D:
Physical Infrastructure,Default,ECBRPRW59,C:,160.5,47.3,17.4,691,v_eSCZp6sb.C:
Physical Infrastructure,Default,ECBRPRW59,D:,42.9,3.1,0.2,6,v_eSCZp6sb.D:
Physical Infrastructure,Default,ECBRPRW59,L:,21.3,2.1,0.1,17,v_eSCZp6sb.L:
Physical Infrastructure,Default,ECBRPRWE25,C:,160.5,100.9,17.6,535,v_fZTcuQ9H.C:
Physical Infrastructure,Default,ECBRPRWE25,D:,257.7,17.2,0.4,13,v_fZTcuQ9H.D:
Physical Infrastructure,Default,ECBRPRWE25,L:,32.1,16.6,0.1,13,v_fZTcuQ9H.L:
Physical Infrastructure,Default,ECBRPRAP27,D:,53.7,29.1,0,0,v_faPLD1sE.D:
Physical Infrastructure,Default,ECBRPRAP27,E:,107.4,0.1,0,0,v_faPLD1sE.E:
Physical Infrastructure,Default,ECBRPRAP27,C:,64.3,29.8,36.1,671,v_faPLD1sE.C:
Physical Infrastructure,Default,ecbrprcl5,F:,107.2,4.6,2.1,42,v_fg8jSsdg.F:
Physical Infrastructure,Default,ecbrprcl5,I:,182.4,105.3,129.5,535,v_fg8jSsdg.I:
Physical Infrastructure,Default,ecbrprcl5,J:,85.8,12.8,6,312,v_fg8jSsdg.J:
Physical Infrastructure,Default,ecbrprcl5,K:,375.7,247.9,285.5,1207,v_fg8jSsdg.K:
Physical Infrastructure,Default,ecbrprcl5,E:,107.2,9.7,1,20,v_fg8jSsdg.E:
Physical Infrastructure,Default,ecbrprcl5,Q:,5.3,0.1,0.1,13,v_fg8jSsdg.Q:
Physical Infrastructure,Default,ecbrprcl5,R:,322,155.5,84.2,346,v_fg8jSsdg.R:
Physical Infrastructure,Default,ecbrprcl5,C:,106.1,58.9,18.1,500,v_fg8jSsdg.C:
Physical Infrastructure,Default,ecbrprcl5,D:,53.7,26,0,0,v_fg8jSsdg.D:
Physical Infrastructure,Default,ecbrprcl11,C:,106.1,63.1,57.7,991,v_fqokYMoz.C:
Physical Infrastructure,Default,ecbrprcl11,D:,53.7,27.9,0,0,v_fqokYMoz.D:
Physical Infrastructure,Default,ecbrprcl11,E:,107.2,16.7,158.1,2536,v_fqokYMoz.E:
Physical Infrastructure,Default,ecbrprcl11,F:,134.1,63.2,275,1168,v_fqokYMoz.F:
Physical Infrastructure,Default,ecbrprcl11,G:,214.6,119.4,86.2,363,v_fqokYMoz.G:
Physical Infrastructure,Default,ecbrprcl11,H:,150.2,116.7,262.2,1105,v_fqokYMoz.H:
Physical Infrastructure,Default,ecbrprcl11,I:,155.6,32.9,34.6,833,v_fqokYMoz.I:
Physical Infrastructure,Default,ecbrprcl11,J:,322,109.6,100.5,427,v_fqokYMoz.J:
Physical Infrastructure,Default,ecbrprcl11,K:,322.1,228.9,359.8,1518,v_fqokYMoz.K:
Physical Infrastructure,Default,ecbrprcl11,Q:,5.3,0.1,0,0,v_fqokYMoz.Q:
Physical Infrastructure,Default,ECBRPRSP01,C:,160.7,92.4,42.9,2131,v_g4hRyu74.C:
Physical Infrastructure,Default,ECBRPRSP01,D:,536.9,78.2,14.8,405,v_g4hRyu74.D:
Physical Infrastructure,Default,ECBRPRSP01,E:,1073.7,837.5,87.8,2209,v_g4hRyu74.E:
Physical Infrastructure,Default,ECBRPRW17,C:,85.3,57.1,111.4,1291,v_gjf17W6B.C:
Physical Infrastructure,Default,ECBRPRW17,D:,42.9,3.4,1.9,64,v_gjf17W6B.D:
Physical Infrastructure,Default,ECBRPRE01,C:,75,61,72.6,18037,v_i6szfKiA.C:
Physical Infrastructure,Default,ECBRPRE01,D:,42.9,18.6,0,0,v_i6szfKiA.D:
Physical Infrastructure,Default,ECBRPRE01,E:,1447.4,747.1,5.3,1122,v_i6szfKiA.E:
Physical Infrastructure,Default,ECBRPRW73,C:,85.3,39.3,12.5,683,v_imQYgLtT.C:
Physical Infrastructure,Default,ECBRPRW73,D:,42.9,5.4,0,0,v_imQYgLtT.D:
Physical Infrastructure,Default,ECBRPRW73,L:,21.5,13.1,0.1,13,v_imQYgLtT.L:
Physical Infrastructure,Default,ECBRPRW93,C:,64.3,38.5,39.7,1493,v_iquVSTeU.C:
Physical Infrastructure,Default,ECBRPRW93,D:,53.7,14.4,0,11,v_iquVSTeU.D:
Physical Infrastructure,Default,ECBRPRW93,E:,429.5,19.8,0,0,v_iquVSTeU.E:
Physical Infrastructure,Default,ecbrprti01,D:,139.6,30.6,10.1,1162,v_jCdT4f2j.D:
Physical Infrastructure,Default,ecbrprti01,C:,160.5,116.2,5.3,307,v_jCdT4f2j.C:
Physical Infrastructure,Default,ECBRPRDP1,C:,536.2,151.7,136.2,18453,v_jr5Cn0cS.C:
Physical Infrastructure,Default,ECBRPRDP1,D:,663.3,452.8,45.3,3419,v_jr5Cn0cS.D:
Physical Infrastructure,Default,ECBRPRDP1,E:,483.2,197.1,396,1894,v_jr5Cn0cS.E:
Physical Infrastructure,Default,ECBRPRDP1,F:,429.5,151.7,4.1,176,v_jr5Cn0cS.F:
Physical Infrastructure,Default,ECBRPRQ72,C:,64.3,36.9,20.7,690,v_kGi5cnFu.C:
Physical Infrastructure,Default,ECBRPRQ72,D:,21.5,4.4,9.9,429,v_kGi5cnFu.D:
Physical Infrastructure,Default,ECBRPRQ72,E:,21.5,0.1,0.6,17,v_kGi5cnFu.E:
Physical Infrastructure,Default,ECBRPRQ72,F:,21.5,4.2,0.2,6,v_kGi5cnFu.F:
Physical Infrastructure,Default,ECBRPRQ72,G:,42.9,2.2,0,0,v_kGi5cnFu.G:
Physical Infrastructure,Default,ECBRPRWE26,C:,160.5,116.4,10,410,v_m0oyGzcX.C:
Physical Infrastructure,Default,ECBRPRWE26,D:,42.9,30.6,0.1,13,v_m0oyGzcX.D:
Physical Infrastructure,Default,ECBRPRWE26,L:,32.1,11.3,0.1,13,v_m0oyGzcX.L:
Physical Infrastructure,Default,ECBRPRW06,D:,21.5,6.6,0,0,v_mJ7moi7j.D:
Physical Infrastructure,Default,ECBRPRW06,C:,53.7,35.4,49.4,780,v_mJ7moi7j.C:
Physical Infrastructure,Default,ecbrprq46,C:,128.3,84.5,15.5,745,v_nwz35wMy.C:
Physical Infrastructure,Default,ecbrprq46,D:,107.4,59.7,89.5,944,v_nwz35wMy.D:
Physical Infrastructure,Default,ecbrprq46,E:,161.1,3.9,0.4,28,v_nwz35wMy.E:
Physical Infrastructure,Default,ecbrprq46,F:,53.7,0.2,0,0,v_nwz35wMy.F:
Physical Infrastructure,Default,ecbrprq46,Z:,64.4,0.6,0.3,50,v_nwz35wMy.Z:
Physical Infrastructure,Default,ECBRPRW63,C:,160.5,44.4,76.1,1261,v_p2D2Ocu7.C:
Physical Infrastructure,Default,ECBRPRW63,D:,53.7,4.8,0,0,v_p2D2Ocu7.D:
Physical Infrastructure,Default,ECBRPRW50,C:,160.5,94.2,12.6,639,v_q5yT59Qf.C:
Physical Infrastructure,Default,ECBRPRW50,D:,75.2,26.7,0,10,v_q5yT59Qf.D:
Physical Infrastructure,Default,ECBRPRW50,L:,21.3,13,0.1,13,v_q5yT59Qf.L:
Physical Infrastructure,Default,ecbrprcl2,C:,106.1,60.6,16.3,543,v_q91Ey0r5.C:
Physical Infrastructure,Default,ecbrprcl2,D:,53.7,25.1,0,0,v_q91Ey0r5.D:
Physical Infrastructure,Default,ecbrprcl2,H:,214.6,35.3,0.2,28,v_q91Ey0r5.H:
Physical Infrastructure,Default,ecbrprcl2,I:,214.6,11.6,0.1,17,v_q91Ey0r5.I:
Physical Infrastructure,Default,ecbrprcl2,J:,107.2,1.8,0.2,65,v_q91Ey0r5.J:
Physical Infrastructure,Default,ecbrprcl2,L:,53.6,4.2,34.4,1105,v_q91Ey0r5.L:
Physical Infrastructure,Default,ecbrprcl2,M:,107.2,0.3,3.7,66,v_q91Ey0r5.M:
Physical Infrastructure,Default,ECBRPRW35,C:,160.7,34.7,90.3,1232,v_qIB1L3Rm.C:
Physical Infrastructure,Default,ECBRPRW35,D:,42.9,12.4,0,0,v_qIB1L3Rm.D:
Physical Infrastructure,Default,ecbrprti06,C:,160.5,49.4,41.3,1907,v_qQSweZbL.C:
Physical Infrastructure,Default,ecbrprti06,D:,182.5,29,43.6,750,v_qQSweZbL.D:
Physical Infrastructure,Default,ECBRPRWE27,C:,160.5,44,0.9,157,v_qgfucwRo.C:
Physical Infrastructure,Default,ECBRPRWE27,D:,53.6,19.4,0,0,v_qgfucwRo.D:
Physical Infrastructure,Default,ECBRPRQ24,C:,107.3,79.5,6,1097,v_qvwVQR5s.C:
Physical Infrastructure,Default,ECBRPRQ24,D:,214.7,40.4,2.2,40,v_qvwVQR5s.D:
Physical Infrastructure,Default,ECBRPRQ24,E:,32.2,2.7,0,0,v_qvwVQR5s.E:
Physical Infrastructure,Default,ECBRPRQ24,F:,697.9,14.5,59.3,253,v_qvwVQR5s.F:
Physical Infrastructure,Default,ECBRPRQ24,H:,697.9,0.1,0,0,v_qvwVQR5s.H:
Physical Infrastructure,Default,ECBRPRQ24,I:,161.1,0.1,0,0,v_qvwVQR5s.I:
Physical Infrastructure,Default,ECBRPRQ24,J:,214.7,0.1,0,0,v_qvwVQR5s.J:
Physical Infrastructure,Default,ECBRPRQ24,K:,268.4,0.1,0,0,v_qvwVQR5s.K:
Physical Infrastructure,Default,ECBRPRQ24,Z:,96.6,4,1,63,v_qvwVQR5s.Z:
Physical Infrastructure,Default,ECBRPRF05,C:,64.3,31.7,83.2,2062,v_s1Tz8PZV.C:
Physical Infrastructure,Default,ECBRPRF05,D:,161,3.5,0.5,66,v_s1Tz8PZV.D:
Physical Infrastructure,Default,ECBRPRW57,C:,160.5,55.3,12,709,v_sD08mSc9.C:
Physical Infrastructure,Default,ECBRPRW57,D:,429.5,9.7,0,0,v_sD08mSc9.D:
Physical Infrastructure,Default,ECBRPRCL12,C:,96,50.4,113.6,478,v_sMwB0ngY.C:
Physical Infrastructure,Default,ECBRPRCL12,D:,53.6,22.3,0,0,v_sMwB0ngY.D:
Physical Infrastructure,Default,ECBRPRCL12,Q:,5.3,0.1,0.1,10,v_sMwB0ngY.Q:
Physical Infrastructure,Default,ECBRPRW19,C:,151,32.2,52.3,1529,v_sX8eCtkP.C:
Physical Infrastructure,Default,ECBRPRW19,D:,42.9,0.4,0,0,v_sX8eCtkP.D:
Physical Infrastructure,Default,ECBRPRAP6,C:,160.5,61.6,23.1,682,v_sXupXpP7.C:
Physical Infrastructure,Default,ECBRPRAP6,D:,107.4,11.1,0,0,v_sXupXpP7.D:
Physical Infrastructure,Default,ECBRPRW07,C:,84.8,56.8,3.2,811,v_uZ4nAGDZ.C:
Physical Infrastructure,Default,ECBRPRW07,D:,32.2,0.8,0,0,v_uZ4nAGDZ.D:
Physical Infrastructure,Default,ECBRPRCC01,C:,160.5,109.1,60.9,1540,v_ubgBpyFm.C:
Physical Infrastructure,Default,ECBRPRCC01,D:,75.2,54.9,6.7,1713,v_ubgBpyFm.D:
Physical Infrastructure,Default,ECBRPRF06,C:,64.3,30.9,18.3,1315,v_vwutBPyT.C:
Physical Infrastructure,Default,ECBRPRF06,D:,161,3.9,0,0,v_vwutBPyT.D:
Physical Infrastructure,Default,ECBRPRW45,C:,160.5,124.4,23.6,318,v_wTDQZiUh.C:
Physical Infrastructure,Default,ECBRPRW45,D:,53.7,10.2,2.1,23,v_wTDQZiUh.D:
Physical Infrastructure,Default,ECBRPRW69,C:,160.5,54.3,4.3,237,v_wXkAfTbL.C:
Physical Infrastructure,Default,ECBRPRW69,D:,107.4,18.9,0.2,21,v_wXkAfTbL.D:
Physical Infrastructure,Default,ECBRPRW76,C:,74.6,59.3,6.1,681,v_x8SmS63W.C:
Physical Infrastructure,Default,ECBRPRW76,D:,42.9,16.9,0.2,13,v_x8SmS63W.D:
Physical Infrastructure,Default,ECBRPRW77,C:,74.6,60.2,11.7,990,v_yGLJNJOO.C:
Physical Infrastructure,Default,ECBRPRW77,D:,42.9,17.8,11.2,134,v_yGLJNJOO.D:
Physical Infrastructure,Default,ecbrprap15,C:,160.5,40.7,12.5,682,v_yJoohm4A.C:
Physical Infrastructure,Default,ecbrprap15,D:,158.5,52.5,1.5,226,v_yJoohm4A.D:
Physical Infrastructure,Default,ECBRPRSRM1,C:,85.1,54.9,51.2,1275,v_ypZMO0Q5.C:
Physical Infrastructure,Default,ECBRPRSRM1,D:,53.7,31,0,0,v_ypZMO0Q5.D:
Physical Infrastructure,Default,ECBRPRSRM1,J:,10.7,0.1,0,0,v_ypZMO0Q5.J:
Physical Infrastructure,Default,ECBRPRSRM1,R:,214.7,1.6,0,0,v_ypZMO0Q5.R:
