Resource Pool name,Resource Pool path,Status,# VMs total,# VMs,# vCPUs,CPU limit,CPU overheadLimit,CPU reservation,CPU level,CPU shares,CPU expandableReservation,CPU maxUsage,CPU overallUsage,CPU reservationUsed,CPU reservationUsedForVm,CPU unreservedForPool,CPU unreservedForVm,Mem Configured,Mem limit,Mem overheadLimit,Mem reservation,Mem level,Mem shares,Mem expandableReservation,Mem maxUsage,Mem overallUsage,Mem reservationUsed,Mem reservationUsedForVm,Mem unreservedForPool,Mem unreservedForVm,QS overallCpuDemand,QS overallCpuUsage,QS staticCpuEntitlement,QS distributedCpuEntitlement,QS balloonedMemory,QS compressedMemory,QS consumedOverheadMemory,QS distributedMemoryEntitlement,QS guestMemoryUsage,QS hostMemoryUsage,QS overheadMemory,QS privateMemory,QS sharedMemory,QS staticMemoryEntitlement,QS swappedMemory,Object ID,VI SDK Server,VI SDK UUID
Resources,/DCP/Cluster_BI/Resources,green,10,10,55,74621,0,74621,normal,4000,True,74621,17177,0,0,74621,74621,262144,248619,0,248619,normal,163840,True,248678,170097,14247,14247,234431,234431,23173,17177,74621,22690,0,0,1010,70017,21826,170097,1959,169087,23,248678,0,resgroup-2921,172.20.1.174,172.20.1.174
Resources,/DCP/Cluster_Test/Resources,green,126,125,372,223863,0,223863,normal,4000,True,223863,74370,73874,0,149989,149989,891692,1001679,0,1001679,normal,163840,True,1001686,862810,500884,130119,500802,500802,128079,74370,223863,110623,0,2036,7427,452187,145681,862810,9994,855464,2698,942052,0,resgroup-3351,172.20.1.174,172.20.1.174
Resources,/DCP/Cluster_Quito/Resources,green,224,215,1231,561859,0,561859,normal,4000,True,561859,299538,279140,217336,282719,282719,4775400,7650337,0,7650337,normal,163840,True,7650339,4410293,1988623,1223462,5661716,5661716,314161,299538,561859,289326,0,0,23801,2427535,1190056,4410293,37873,4386627,105095,4792753,0,resgroup-27,172.20.1.174,172.20.1.174
