VM,Powerstate,Template,SRM Placeholder,# CPU,Sockets,# Cores,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprq70,poweredOn,False,False,4,2,2,10376,1322,normal,4000,0,1212,1348,-1,True,False,,"Sun Jul  6 12:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-36322,422eb63a-0bf1-cb2c-450b-c5812def1371,,172.20.1.174,172.20.1.174
ecbrprq71,poweredOn,False,False,6,3,2,15564,1504,normal,6000,0,1811,1530,-1,True,False,,"Tue Jul  8 20:07:21 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-46753,422e3254-84bc-2920-5399-8d3f0c457d1d,,172.20.1.174,172.20.1.174
ecbrprq72,poweredOn,False,False,4,2,2,10376,1219,normal,4000,0,1212,1219,-1,True,False,,,DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-55040,422eae7a-52a2-13c1-8b74-72c3946c9982,,172.20.1.174,172.20.1.174
ecbrprs01,poweredOn,False,False,1,1,1,2993,59,normal,1000,0,315,59,-1,True,False,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-878,423e96bb-b3d9-fce2-572e-efd17e4f90c0,,172.20.1.174,172.20.1.174
ecbrprs02,poweredOn,False,False,1,1,1,2993,29,normal,1000,0,315,29,-1,True,False,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-879,423e5664-e8e1-5b03-0252-10ed5f8ba137,,172.20.1.174,172.20.1.174
ecbrprsi11,poweredOn,False,False,4,2,2,10376,12503,normal,4000,0,1212,12451,-1,True,False,,"Sat Jul  5 21:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_WIN_SSI",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-21461,422e1ba5-d5a6-8d6f-7d16-bff18fb377bc,,172.20.1.174,172.20.1.174
ecbrprsi12,poweredOn,False,False,4,2,2,10376,959,normal,4000,0,1212,985,-1,True,False,,"Sat Jul  5 21:00:08 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_WIN_SSI",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-21460,422e9341-6e1f-d259-36ca-771a0519ea71,,172.20.1.174,172.20.1.174
ECBRPRSI13,poweredOn,False,False,2,1,2,5986,209,normal,2000,0,631,239,-1,True,False,,"Sat Jul  5 21:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_WIN_SSI",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-48555,422e80a2-0858-2f54-d396-97557a37954a,,172.20.1.174,172.20.1.174
ECBRPRSI14,poweredOn,False,False,2,1,2,5188,337,normal,2000,0,631,363,-1,True,False,,"Sat Jul  5 21:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_WIN_SSI",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-48556,422e1515-3dba-bb1b-9b92-6a34b54fc814,,172.20.1.174,172.20.1.174
ecbrprsm1,poweredOn,False,False,2,1,2,5188,389,normal,2000,0,631,389,-1,True,False,,"Tue Jul  8 17:24:34 2025 -0500,ecbrprps1.bgr.com,TestToCloud",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-42336,422e6675-0a6d-2453-0a53-57c78f6e852c,APLICACIONES,172.20.1.174,172.20.1.174
ecbrprsm4,poweredOn,False,False,6,6,1,15564,1893,normal,6000,0,1810,1919,-1,True,False,,"Sat Jul  5 08:00:22 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-48550,422e2351-6d49-ff3d-ef4a-5016626ea69f,,172.20.1.174,172.20.1.174
ecbrprsp01,poweredOn,False,False,16,4,4,41504,492,normal,16000,0,4819,518,-1,True,False,,"Tue Jul  8 20:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-14330,33b856a5-e49b-4bb3-b225-ccd128c75b4d,,172.20.1.174,172.20.1.174
ecbrprsr1,poweredOff,False,False,4,2,2,11972,0,normal,4000,0,0,0,-1,True,False,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),,vm-39419,422e03d3-0405-e305-6fd8-52c21d2c6931,,172.20.1.174,172.20.1.174
ecbrprsrm1,poweredOn,False,False,2,2,1,5986,1436,normal,4000,0,631,568,-1,True,False,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-462,423e68a3-d649-3201-893f-bf7b452e6b15,,172.20.1.174,172.20.1.174
ecbrprti01,poweredOn,False,False,18,9,2,53874,1556,normal,18000,0,5424,1616,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10561,336bef65-efc5-43c2-9342-257f0e2da377,,172.20.1.174,172.20.1.174
ecbrprti02,poweredOn,False,False,8,2,4,23944,867,normal,8000,0,2413,897,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7520,2f3de766-1a4f-487e-80ab-2748f98c5b6c,,172.20.1.174,172.20.1.174
ecbrprti03,poweredOn,False,False,4,2,2,11972,1646,normal,4000,0,1212,1556,-1,True,False,,"Wed Jul  9 00:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7296,630447bd-1035-4127-9e75-bc7c2af1f0c4,,172.20.1.174,172.20.1.174
ecbrprti05,poweredOn,False,False,8,4,2,23944,718,normal,8000,0,2413,628,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-5841,422e117f-bafc-911a-ec19-e17a55cf2a16,,172.20.1.174,172.20.1.174
ecbrprti06,poweredOn,False,False,4,2,2,10376,907,normal,4000,0,1212,856,-1,True,False,,"Wed Jul  9 00:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-5842,422e2c2a-d0bd-1b6d-346b-afa78cf0e4c8,,172.20.1.174,172.20.1.174
ecbrprti08,poweredOn,False,False,4,2,2,11972,389,normal,4000,0,1212,389,-1,True,False,,"Sat Jul  5 20:00:08 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_WIN_TOOLS_COLABORATIVAS",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-22954,422e1ec7-6d3e-3d7a-66cf-73a2ef718b10,,172.20.1.174,172.20.1.174
ecbrprti09,poweredOn,False,False,4,4,1,11972,598,normal,4000,0,1212,508,-1,False,False,,,DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2025 (64-bit),vm-54915,422eff43-3f28-20b3-faf8-1bd9f314a744,,172.20.1.174,172.20.1.174
ecbrprvc3,poweredOn,False,False,4,4,1,10376,1297,normal,4000,0,1212,1115,-1,True,True,,"Sat Jul  5 18:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Other 3.x or later Linux (64-bit),VMware Photon OS (64-bit),vm-23043,422ed7f8-8018-75fa-0d38-57bd49c4f869,,172.20.1.174,172.20.1.174
ECBRPRVM01,poweredOn,False,False,4,2,2,10776,269,normal,4000,0,1212,269,-1,True,False,,,DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-53224,422e27a9-2a5e-8f83-cb98-f71e3ceda7c4,,172.20.1.174,172.20.1.174
ecbrprw01,poweredOn,False,False,2,2,1,5188,77,normal,2000,0,631,77,-1,True,False,,"Tue Jul  8 20:01:40 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14290,4dae3d98-1950-4072-810e-b5b546e64b1a,,172.20.1.174,172.20.1.174
ecbrprw02,poweredOn,False,False,2,2,1,5986,89,normal,2000,0,631,89,-1,True,False,,"Tue Jul  8 20:01:40 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14292,d51122c8-22aa-4a4b-bdfd-e524b5453fc3,,172.20.1.174,172.20.1.174
ecbrprw03,poweredOn,False,False,2,2,1,5188,103,normal,2000,0,631,103,-1,True,False,,"Tue Jul  8 20:02:05 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14289,f2e27bfd-ce07-4337-996a-8e29555e5556,,172.20.1.174,172.20.1.174
ecbrprw04,poweredOn,False,False,2,2,1,5986,89,normal,2000,0,631,89,-1,True,False,,"Tue Jul  8 20:02:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-19361,6eb6fd9f-09e5-4319-99b2-793579bdec8d,,172.20.1.174,172.20.1.174
ecbrprw06,poweredOn,False,False,2,1,2,5986,329,normal,2000,0,631,329,-1,True,False,,"Tue Jul  8 20:02:50 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14327,7a297245-cbea-4952-992e-8afdb68c88ad,,172.20.1.174,172.20.1.174
ecbrprw07,poweredOn,False,False,2,2,1,5188,233,normal,2000,0,631,259,-1,True,False,,"Tue Jul  8 20:03:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),vm-14293,42b0beba-4dd1-4753-a36d-5b1b97e6de27,,172.20.1.174,172.20.1.174
ecbrprw08,poweredOn,False,False,2,2,1,5188,77,normal,2000,0,631,77,-1,True,False,,"Tue Jul  8 20:03:30 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14282,1791181a-b9ad-4854-9743-0a2eaa53876a,,172.20.1.174,172.20.1.174
ecbrprw15,poweredOn,False,False,4,4,1,10776,431,normal,4000,0,1212,350,-1,True,False,,"Tue Jul  8 20:03:53 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-14324,da2c326e-af8c-4214-b8df-eb797be75e10,,172.20.1.174,172.20.1.174
ecbrprw16,poweredOn,False,False,4,4,1,10376,804,normal,4000,0,1212,674,-1,True,False,,"Tue Jul  8 20:04:05 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14320,6e52ec16-7e5f-4d95-9ddd-08a350743464,,172.20.1.174,172.20.1.174
ecbrprw17,poweredOn,False,False,4,4,1,10376,466,normal,4000,0,1212,466,-1,True,False,,"Tue Jul  8 20:04:32 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14276,04015500-6935-477c-b895-49f62984dc35,,172.20.1.174,172.20.1.174
ecbrprw19,poweredOn,False,False,2,1,2,5986,299,normal,2000,0,631,269,-1,True,False,,"Tue Jul  8 20:05:09 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-14319,deb78018-ca2e-4f3d-ba2a-f54697f917f5,,172.20.1.174,172.20.1.174
ecbrprw20,poweredOn,False,False,4,2,2,11972,209,normal,4000,0,1212,209,-1,True,False,,"Tue Jul  8 20:05:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-14335,9813e3b3-17f3-44f3-b52f-6c602ab24d4f,,172.20.1.174,172.20.1.174
ecbrprw25,poweredOn,False,False,4,4,1,11972,389,normal,4000,0,1212,389,-1,True,False,,"Tue Jul  8 20:05:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14272,364be988-25dc-4dd2-9373-2ca019d5562d,,172.20.1.174,172.20.1.174
ecbrprw27,poweredOn,False,False,4,2,2,11972,538,normal,4000,0,1212,538,-1,True,False,,"Tue Jul  8 20:05:22 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14326,6422b2db-4991-439c-afcc-94023507102e,,172.20.1.174,172.20.1.174
ecbrprw29,poweredOn,False,False,2,2,1,5188,77,normal,2000,0,631,77,-1,True,False,,"Tue Jul  8 20:05:23 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14275,69840ffa-15b3-4f1a-825c-acacfe29135f,,172.20.1.174,172.20.1.174
ecbrprw30,poweredOn,False,False,1,1,1,2993,59,normal,1000,0,315,89,-1,True,False,,"Tue Jul  8 20:06:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14288,67dfd1ed-820c-4338-a38c-913147f3e07e,,172.20.1.174,172.20.1.174
ecbrprw31,poweredOn,False,False,2,2,1,5188,155,normal,2000,0,631,155,-1,True,False,,"Tue Jul  8 20:07:04 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-14284,9ddab1c2-dcd9-4051-b44a-622f9499a8a0,,172.20.1.174,172.20.1.174
ecbrprw32,poweredOn,False,False,8,4,2,20752,285,normal,8000,0,2413,285,-1,True,False,"Servidor de tarificación de TEUNO, se encuentra conectado fisicamente un usb por el licenciamiento de la aplicacion SACET.","Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-991,423e1fca-3039-3131-e6f6-c7e608b58dd8,,172.20.1.174,172.20.1.174
ecbrprw33,poweredOn,False,False,8,8,1,23944,568,normal,8000,0,2413,568,-1,True,False,,"Wed Jul  9 00:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14297,28da75c5-2866-4c22-a8fa-ad47bc084bdc,,172.20.1.174,172.20.1.174
ecbrprw35,poweredOn,False,False,2,1,2,5188,3190,normal,2000,0,631,3190,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-14325,6e2bb03b-cec6-45fb-b42d-0355ba7cb590,,172.20.1.174,172.20.1.174
ecbrprw38,poweredOn,False,False,10,10,1,25940,1193,normal,10000,0,3012,1219,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14287,40dd6903-5ceb-4eed-8504-caf2aa8f6f2f,,172.20.1.174,172.20.1.174
ECBRPRW38_RFC1335,poweredOn,False,False,10,10,1,29930,538,normal,10000,0,3015,508,-1,True,False,,,DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-57461,422e11f8-08d8-efb2-a481-467be7ae6a5b,,172.20.1.174,172.20.1.174
ecbrprw39,poweredOn,False,False,10,10,1,26940,1185,normal,10000,0,3011,1212,-1,True,False,,"Wed Jul  9 00:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14277,0ffae6b4-c099-460a-bdb7-6864aafd0478,,172.20.1.174,172.20.1.174
ecbrprw43,poweredOn,False,False,2,2,1,5188,363,normal,2000,0,631,363,-1,True,False,,"Wed Jul  9 00:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14278,c4dcd5b4-db30-4ec2-ac34-ff2536108807,,172.20.1.174,172.20.1.174
ecbrprw44,poweredOn,False,False,4,2,2,10376,3761,normal,4000,0,1212,3813,-1,True,False,,"Tue Jul  8 20:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01_Replicados",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14304,d9ae0789-3729-43cd-9ef6-2117c0b2d609,,172.20.1.174,172.20.1.174
ecbrprw44_RESTORE_REQ_2025-045998,poweredOff,False,False,4,2,2,0,0,normal,4000,0,0,0,-1,True,False,,"""Wed Jul  2 20:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01_Replicados""",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),,vm-57415,422eb824-1e29-c3c3-e86b-fb1557ffed7a,,172.20.1.174,172.20.1.174
ecbrprw45,poweredOn,False,False,8,4,2,20752,856,normal,8000,0,2412,726,-1,True,False,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01_Replicados",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14317,95c4fe36-a0fc-438f-885d-b323f848950c,,172.20.1.174,172.20.1.174
ecbrprw47,poweredOn,False,False,4,2,2,11972,598,normal,4000,0,1212,628,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-43084,0cebbd84-c731-412c-aa3d-380f6634f84b,,172.20.1.174,172.20.1.174
ecbrprw48,poweredOn,False,False,4,2,2,11972,448,normal,4000,0,1212,478,-1,True,False,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14295,3429b847-09df-480c-a1d4-19d91da07b09,,172.20.1.174,172.20.1.174
ecbrprw49,poweredOn,False,False,14,7,2,41902,6554,normal,14000,0,4218,6195,-1,True,False,,"Wed Jul  9 00:03:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14318,205e20c7-ab5e-450d-8054-2ca3959c87ab,,172.20.1.174,172.20.1.174
ECBRPRW49_RFC1335,poweredOn,False,False,14,7,2,41902,927,normal,14000,0,4218,838,-1,True,False,,,DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-57467,422e42e3-0b2e-3e03-acd4-794744c44caf,,172.20.1.174,172.20.1.174
ecbrprw50,poweredOn,False,False,14,7,2,41902,1885,normal,14000,0,4218,1765,-1,True,False,,"Wed Jul  9 00:04:04 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14302,ffecfa0a-394b-417e-9084-1a81c7da2dc2,,172.20.1.174,172.20.1.174
ecbrprw51,poweredOn,False,False,4,4,1,10376,311,normal,4000,0,1212,311,-1,True,False,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14299,e5eebf49-94b9-4be5-841c-f0efb8a153c4,,172.20.1.174,172.20.1.174
ecbrprw52,poweredOn,False,False,4,2,2,11972,299,normal,4000,0,1212,299,-1,True,False,,"Wed Jul  9 00:05:24 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14367,f78a4a0a-14ed-495a-905e-60279a69b43e,,172.20.1.174,172.20.1.174
ecbrprw53,poweredOn,False,False,4,2,2,10376,1556,normal,4000,0,1212,1426,-1,True,False,,"Wed Jul  9 00:05:35 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14340,4dd03f59-80df-4857-a5e6-24baeaf364b1,,172.20.1.174,172.20.1.174
ecbrprw56,poweredOn,False,False,4,2,2,11972,329,normal,4000,0,1212,329,-1,True,False,,"Sat Jul  5 08:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14339,3fe7dc00-4c87-4d59-93c5-1203acea8067,,172.20.1.174,172.20.1.174
ecbrprw57,poweredOn,False,False,4,2,2,10376,285,normal,4000,0,1212,311,-1,True,False,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14349,845a3d40-b40e-422c-b197-21a80eeae8c9,,172.20.1.174,172.20.1.174
