VM,Powerstate,Template,SRM Placeholder,# CPU,Sockets,# Cores,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprlx13,poweredOn,False,False,4,4,1,11972,3621,normal,4000,0,1212,3651,-1,False,False,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP/Plantillas_2024/UNIX/RHEL,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-14159,422edba0-1088-eca2-289b-1cc9a13dd717,,172.20.1.174,172.20.1.174
ecbrprlx14,poweredOn,False,False,2,2,1,5986,329,normal,2000,0,631,239,-1,False,False,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP/Plantillas_2024/UNIX/RHEL,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-14156,422e127b-eb83-3f4a-ad9f-f2316f303e56,,172.20.1.174,172.20.1.174
ecbrprlx15,poweredOn,False,False,2,2,1,5188,25,normal,2000,0,631,51,-1,False,False,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP/Plantillas_2024/UNIX/RHEL,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-14157,422eac1e-3e51-6d88-6b2e-0f588a0f8629,,172.20.1.174,172.20.1.174
ecbrprlx16,poweredOn,False,False,8,8,1,20752,77,normal,8000,0,2409,77,-1,False,False,,"Sat Jul  5 20:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_LX_NBU",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-18638,422eab09-f6a7-5fb4-c08d-d2f3fce20df4,,172.20.1.174,172.20.1.174
ecbrprlx16_REQ 2025-046223,poweredOff,False,False,8,8,1,0,0,normal,8000,0,0,0,-1,False,False,,"""Wed Jul  2 23:47:52 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_LX_NBU""",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Red Hat Enterprise Linux 9 (64-bit),,vm-57356,422ea859-0c8b-559d-b5bb-a04e7c21a647,,172.20.1.174,172.20.1.174
ecbrprlx17,poweredOn,False,False,2,2,1,5188,1011,normal,2000,0,631,1011,-1,True,False,,"Sat Jul  5 21:00:06 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_LX_SSI",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP/Discovered virtual machine,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-48181,564d479b-bad2-d1fe-3fbf-28ebc8a4e813,,172.20.1.174,172.20.1.174
ecbrprlx20,poweredOn,False,False,4,2,2,10376,233,normal,4000,0,1212,233,-1,True,False,Administrado por Dennis Chavez - TCS no administra,,DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-39948,422e3a45-b5bc-b705-ab17-4e5e28511e19,,172.20.1.174,172.20.1.174
ecbrprlx21,poweredOn,False,False,4,4,1,11972,149,normal,4000,0,1212,179,-1,False,False,HPE Primera & 3PAR SSMC Appliance,,DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Debian GNU/Linux 6 (64-bit),Debian GNU/Linux 4 (64-bit),vm-57852,422ea841-ef8a-8847-ba6c-7ddd85a00e26,,172.20.1.174,172.20.1.174
ecbrprlxcc,poweredOn,False,False,4,4,1,10376,752,normal,4000,0,1212,726,-1,False,False,,"Sat Jul  5 08:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-10064,422e9b7c-0305-06cb-3325-e17fa84fe1d0,,172.20.1.174,172.20.1.174
ecbrprlxdn01,poweredOn,False,False,8,8,1,20752,207,normal,8000,0,2412,207,-1,False,False,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10174,422e519b-8e1c-7e8c-82ed-8189a3b48592,,172.20.1.174,172.20.1.174
