Port,Switch,Type,# Ports,VLAN,Speed,Full Duplex,Blocked,Allow Promiscuous,Mac Changes,Active Uplink,Standby Uplink,Policy,Forged Transmits,In Traffic Shaping,In Avg,In Peak,In Burst,Out Traffic Shaping,Out Avg,Out Peak,Out Burst,Reverse Policy,Notify Switch,Rolling Order,Check Beacon,Live Port Moving,Check Duplex,Check Error %,Check Speed,Percentage,Block Override,Config Reset,Shaping Override,Vendor Config Override,Sec. Policy Override,Teaming Override,Vlan Override,Object ID,VI SDK Server,VI SDK UUID
DCP-Cluster_Quit-DVUplinks-46520,DCP-Cluster_Quito-vDS-Backups,earlyBinding,40,,10,False,False,False,False,,,loadbalance_srcid,True,False,100000,100000,102400,False,100000,100000,102400,True,True,False,False,False,False,False,minimum,0,True,True,False,False,False,False,False,dvportgroup-46521,172.20.1.174,172.20.1.174
vDP-Backup-BDD-VLAN167,DCP-Cluster_Quito-vDS-Backups,earlyBinding,32,167.0,10,False,False,False,False,lag1-Backups,,loadbalance_srcid,False,False,100000,100000,102400,False,100000,100000,102400,True,True,False,False,False,False,False,minimum,0,True,True,True,False,False,True,False,dvportgroup-46523,172.20.1.174,172.20.1.174
vDP-Backup-ESXi-VLAN166,DCP-Cluster_Quito-vDS-Backups,earlyBinding,16,166.0,10,False,False,False,False,lag1-Backups,,loadbalance_srcid,False,False,100000,100000,102400,False,100000,100000,102400,True,True,False,False,False,False,False,minimum,0,True,True,False,False,False,True,False,dvportgroup-46522,172.20.1.174,172.20.1.174
vDP-Backup-Netbackup-VLAN65,DCP-Cluster_Quito-vDS-Backups,earlyBinding,8,65.0,10,False,False,False,False,lag1-Backups,,loadbalance_srcid,False,False,100000,100000,102400,False,100000,100000,102400,True,True,False,False,False,False,False,minimum,0,True,True,True,False,False,True,False,dvportgroup-46524,172.20.1.174,172.20.1.174
